Date,EURUSD=X,GBPUSD=X,USDJPY=X
2024-12-30,1.0429377555847168,1.257880687713623,157.8730010986328
2024-12-31,1.040615200996399,1.254909873008728,156.9949951171875
2025-01-02,1.0351860523223877,1.2519248723983765,157.718994140625
2025-01-03,1.0268205404281616,1.2380222082138062,157.36199951171875
2025-01-06,1.0305347442626953,1.2426837682724,157.4810028076172
2025-01-07,1.0386372804641724,1.2510946989059448,157.7429962158203
2025-01-08,1.034554123878479,1.247785210609436,158.23599243164062
2025-01-09,1.0314701795578003,1.2359870672225952,158.19200134277344
2025-01-10,1.0297601222991943,1.2299367189407349,158.04800415039062
2025-01-13,1.0244431495666504,1.2204945087432861,157.88699340820312
2025-01-14,1.0265253782272339,1.2233314514160156,157.36399841308594
2025-01-15,1.0306835174560547,1.221344232559204,158.0500030517578
2025-01-16,1.0295268297195435,1.2243348360061646,156.2550048828125
2025-01-17,1.0301949977874756,1.2236906290054321,155.3560028076172
2025-01-20,1.0277386903762817,1.2171002626419067,156.30599975585938
2025-01-21,1.0420682430267334,1.233136773109436,155.24899291992188
2025-01-22,1.0405935049057007,1.2335399389266968,155.7740020751953
2025-01-23,1.0410159826278687,1.231420874595642,156.44000244140625
2025-01-24,1.041601538658142,1.2353914976119995,156.15499877929688
2025-01-27,1.0467586517333984,1.2459352016448975,155.74400329589844
2025-01-28,1.0445064306259155,1.2460592985153198,154.90899658203125
2025-01-29,1.0429050922393799,1.2441680431365967,155.5590057373047
2025-01-30,1.0425245761871338,1.245530128479004,155.1699981689453
2025-01-31,1.0397279262542725,1.2423903942108154,154.0970001220703
2025-02-03,1.024779200553894,1.2291958332061768,155.36300659179688
2025-02-04,1.0327378511428833,1.2431780099868774,155.27699279785156
2025-02-05,1.0372798442840576,1.2478163242340088,154.13299560546875
2025-02-06,1.0400848388671875,1.2504063844680786,152.6060028076172
2025-02-07,1.0385725498199463,1.2437502145767212,151.1929931640625
2025-02-10,1.0311616659164429,1.2391574382781982,151.8459930419922
2025-02-11,1.0301525592803955,1.2360633611679077,151.75900268554688
2025-02-12,1.0364949703216553,1.245159387588501,152.73899841308594
2025-02-13,1.039198637008667,1.2450664043426514,154.2550048828125
2025-02-14,1.0461673736572266,1.2563445568084717,152.98899841308594
2025-02-17,1.0489217042922974,1.2584155797958374,152.0229949951172
2025-02-18,1.048536777496338,1.262148141860962,151.44400024414062
2025-02-19,1.044833779335022,1.2625784873962402,151.93099975585938
2025-02-20,1.0421009063720703,1.2584155797958374,151.22000122070312
2025-02-21,1.0500562191009521,1.2670401334762573,149.4080047607422
2025-02-24,1.0474823713302612,1.2649900913238525,149.38699340820312
2025-02-25,1.0461344718933105,1.261781930923462,149.86399841308594
2025-02-26,1.0524100065231323,1.2674431800842285,149.0780029296875
2025-02-27,1.0488777160644531,1.2682307958602905,148.83799743652344
2025-02-28,1.039511799812317,1.259890079498291,150.01199340820312
2025-03-03,1.0413846969604492,1.260398268699646,150.77099609375
2025-03-04,1.0485037565231323,1.270147681236267,149.30499267578125
2025-03-05,1.062699317932129,1.2794268131256104,149.7989959716797
2025-03-06,1.0794938802719116,1.2891913652420044,148.8979949951172
2025-03-07,1.0787951946258545,1.2885303497314453,148.10800170898438
2025-03-10,1.086059331893921,1.2932428121566772,147.60800170898438
2025-03-11,1.0839403867721558,1.2875481843948364,147.06900024414062
2025-03-12,1.0914170742034912,1.294481635093689,148.04200744628906
2025-03-13,1.0886249542236328,1.2964283227920532,148.2790069580078
2025-03-14,1.085564136505127,1.2958402633666992,147.94900512695312
2025-03-17,1.0881274938583374,1.2930588722229004,148.59800720214844
2025-03-18,1.091917634010315,1.2985326051712036,149.37899780273438
2025-03-19,1.093948245048523,1.3000519275665283,149.45199584960938
2025-03-20,1.0911908149719238,1.3010668754577637,148.49000549316406
2025-03-21,1.0856702327728271,1.2967981100082397,148.5959930419922
2025-03-24,1.0835762023925781,1.2924572229385376,149.677001953125
2025-03-25,1.0803569555282593,1.2924238443374634,150.7740020751953
2025-03-26,1.0787487030029297,1.2943308353424072,149.9499969482422
2025-03-27,1.0742061138153076,1.2877637147903442,150.47300720214844
2025-03-28,1.080100178718567,1.295202612876892,150.8470001220703
2025-03-31,1.082391619682312,1.2938284873962402,149.61700439453125
2025-04-01,1.0818880796432495,1.292089819908142,149.91299438476562
2025-04-02,1.0795987844467163,1.292306900024414,149.7830047607422
2025-04-03,1.090869426727295,1.3046314716339111,147.8719940185547
2025-04-04,1.1043744087219238,1.308866262435913,146.2310028076172
2025-04-07,1.098454475402832,1.2910722494125366,145.43299865722656
2025-04-08,1.0915361642837524,1.2734960317611694,147.78900146484375
2025-04-09,1.0980443954467773,1.2790995836257935,145.84500122070312
2025-04-10,1.0952062606811523,1.2825446128845215,147.3990020751953
2025-04-11,1.1257838010787964,1.2992074489593506,143.7469940185547
2025-04-14,1.1343141794204712,1.3085237741470337,143.6959991455078
2025-04-15,1.1339668035507202,1.3174536228179932,143.2209930419922
2025-04-16,1.1292672157287598,1.323101282119751,143.18099975585938
2025-04-17,1.1396790742874146,1.3233989477157593,141.92799377441406
2025-04-22,1.1512778997421265,1.3379716873168945,140.87600708007812
2025-04-23,1.1351252794265747,1.327316164970398,142.68800354003906
2025-04-24,1.132733702659607,1.326453447341919,143.22300720214844
2025-04-25,1.1371906995773315,1.3326226472854614,142.87899780273438
2025-04-28,1.1343141794204712,1.3290096521377563,143.84100341796875
2025-04-29,1.1409143209457397,1.3436164855957031,142.17799377441406
2025-04-30,1.1389262676239014,1.3410794734954834,142.2989959716797
